Steps = 162, Explorations = 161, Exploitations = 0, Epsilon rate = 0.8856253080431857, Episode = 1
Steps = 34, Explorations = 32, Exploitations = 1, Epsilon rate = 0.8827074157999201, Episode = 2
Steps = 49, Explorations = 45, Exploitations = 3, Epsilon rate = 0.8784803618935841, Episode = 3
Steps = 75, Explorations = 70, Exploitations = 4, Epsilon rate = 0.8720032781244752, Episode = 4
Steps = 38, Explorations = 34, Exploitations = 3, Epsilon rate = 0.8687826667675371, Episode = 5
Steps = 35, Explorations = 29, Exploitations = 5, Epsilon rate = 0.8658336743765196, Episode = 6
Steps = 30, Explorations = 23, Exploitations = 6, Epsilon rate = 0.8633262688438449, Episode = 7
Steps = 52, Explorations = 44, Exploitations = 7, Epsilon rate = 0.8589342943254539, Episode = 8
Steps = 64, Explorations = 57, Exploitations = 6, Epsilon rate = 0.8535397491999356, Episode = 9
Steps = 32, Explorations = 25, Exploitations = 6, Epsilon rate = 0.8508977411032728, Episode = 10
Steps = 56, Explorations = 48, Exploitations = 7, Epsilon rate = 0.8462304170643492, Episode = 11
Steps = 33, Explorations = 27, Exploitations = 5, Epsilon rate = 0.8435266728383509, Episode = 12
Steps = 77, Explorations = 64, Exploitations = 12, Epsilon rate = 0.8371398514430975, Episode = 13
Steps = 79, Explorations = 72, Exploitations = 6, Epsilon rate = 0.8306352363445645, Episode = 14
Steps = 53, Explorations = 44, Exploitations = 8, Epsilon rate = 0.8263269290042342, Episode = 15
Steps = 26, Explorations = 17, Exploitations = 8, Epsilon rate = 0.8242635887630039, Episode = 16
Steps = 17, Explorations = 13, Exploitations = 3, Epsilon rate = 0.822945755675852, Episode = 17
Steps = 48, Explorations = 41, Exploitations = 6, Epsilon rate = 0.8190867933383953, Episode = 18
Steps = 21, Explorations = 15, Exploitations = 5, Epsilon rate = 0.817450175083264, Episode = 19
Steps = 18, Explorations = 13, Exploitations = 4, Epsilon rate = 0.8160616209621889, Episode = 20
Steps = 25, Explorations = 21, Exploitations = 3, Epsilon rate = 0.8141053237511121, Episode = 21
Steps = 22, Explorations = 14, Exploitations = 7, Epsilon rate = 0.8123974111101417, Episode = 22
Steps = 36, Explorations = 32, Exploitations = 3, Epsilon rate = 0.8095588486229623, Episode = 23
Steps = 32, Explorations = 21, Exploitations = 10, Epsilon rate = 0.8070529770044567, Episode = 24
Steps = 60, Explorations = 49, Exploitations = 10, Epsilon rate = 0.8023051469167727, Episode = 25
Steps = 30, Explorations = 23, Exploitations = 6, Epsilon rate = 0.7999817164198927, Episode = 26
Steps = 20, Explorations = 16, Exploitations = 3, Epsilon rate = 0.7984631183525579, Episode = 27
Steps = 35, Explorations = 27, Exploitations = 7, Epsilon rate = 0.7957528183539508, Episode = 28
Steps = 30, Explorations = 26, Exploitations = 3, Epsilon rate = 0.7934483630313752, Episode = 29
Steps = 31, Explorations = 27, Exploitations = 3, Epsilon rate = 0.7910714662234333, Episode = 30
Steps = 24, Explorations = 18, Exploitations = 5, Epsilon rate = 0.7892540018616419, Episode = 31
Steps = 23, Explorations = 16, Exploitations = 6, Epsilon rate = 0.7875194650194164, Episode = 32
Steps = 26, Explorations = 20, Exploitations = 5, Epsilon rate = 0.7855530271049643, Episode = 33
Steps = 36, Explorations = 28, Exploitations = 7, Epsilon rate = 0.7828082604132748, Episode = 34
Steps = 61, Explorations = 50, Exploitations = 10, Epsilon rate = 0.7781252398074363, Episode = 35
Steps = 22, Explorations = 17, Exploitations = 4, Epsilon rate = 0.7764928098324033, Episode = 36
Steps = 36, Explorations = 26, Exploitations = 9, Epsilon rate = 0.7737797000521264, Episode = 37
Steps = 46, Explorations = 39, Exploitations = 6, Epsilon rate = 0.7703053408525087, Episode = 38
Steps = 27, Explorations = 21, Exploitations = 5, Epsilon rate = 0.7683050484570075, Episode = 39
Steps = 19, Explorations = 14, Exploitations = 4, Epsilon rate = 0.7669232742498073, Episode = 40
Steps = 39, Explorations = 30, Exploitations = 8, Epsilon rate = 0.7640143508141686, Episode = 41
Steps = 21, Explorations = 18, Exploitations = 2, Epsilon rate = 0.7624877728692008, Episode = 42
Steps = 15, Explorations = 11, Exploitations = 3, Epsilon rate = 0.7614209835735878, Episode = 43
Steps = 31, Explorations = 24, Exploitations = 6, Epsilon rate = 0.759140029714862, Episode = 44
Steps = 13, Explorations = 8, Exploitations = 4, Epsilon rate = 0.7582295625446507, Episode = 45
Steps = 47, Explorations = 34, Exploitations = 12, Epsilon rate = 0.7547495427353559, Episode = 46
Steps = 28, Explorations = 20, Exploitations = 7, Epsilon rate = 0.7527143659345471, Episode = 47
Steps = 19, Explorations = 14, Exploitations = 4, Epsilon rate = 0.7513606311148603, Episode = 48
Steps = 28, Explorations = 18, Exploitations = 9, Epsilon rate = 0.7493345924902539, Episode = 49
Steps = 31, Explorations = 21, Exploitations = 9, Epsilon rate = 0.7470898452780147, Episode = 50
Steps = 19, Explorations = 15, Exploitations = 3, Epsilon rate = 0.7457462259945808, Episode = 51
Steps = 44, Explorations = 35, Exploitations = 8, Epsilon rate = 0.7425462421171675, Episode = 52
Steps = 29, Explorations = 23, Exploitations = 5, Epsilon rate = 0.7404699170329729, Episode = 53
Steps = 64, Explorations = 44, Exploitations = 19, Epsilon rate = 0.7358193885723998, Episode = 54
Steps = 25, Explorations = 19, Exploitations = 5, Epsilon rate = 0.7340554514128218, Episode = 55
Steps = 14, Explorations = 8, Exploitations = 5, Epsilon rate = 0.7331017516793498, Episode = 56
Steps = 55, Explorations = 44, Exploitations = 10, Epsilon rate = 0.7291534747456538, Episode = 57
Steps = 27, Explorations = 21, Exploitations = 5, Epsilon rate = 0.7272600435653988, Episode = 58
Steps = 39, Explorations = 30, Exploitations = 8, Epsilon rate = 0.7245015619081556, Episode = 59
Steps = 24, Explorations = 14, Exploitations = 9, Epsilon rate = 0.7228370400222679, Episode = 60
Steps = 15, Explorations = 10, Exploitations = 4, Epsilon rate = 0.7218257256849029, Episode = 61
Steps = 37, Explorations = 29, Exploitations = 7, Epsilon rate = 0.7192316954249229, Episode = 62
Steps = 23, Explorations = 16, Exploitations = 6, Epsilon rate = 0.7176510460131138, Episode = 63
Steps = 53, Explorations = 42, Exploitations = 10, Epsilon rate = 0.7139287607860378, Episode = 64
Steps = 19, Explorations = 16, Exploitations = 2, Epsilon rate = 0.7126447807452798, Episode = 65
Steps = 50, Explorations = 45, Exploitations = 4, Epsilon rate = 0.7091611889075682, Episode = 66
Steps = 26, Explorations = 17, Exploitations = 8, Epsilon rate = 0.7073904117886922, Episode = 67
Steps = 30, Explorations = 20, Exploitations = 9, Epsilon rate = 0.705341849016452, Episode = 68
Steps = 24, Explorations = 16, Exploitations = 7, Epsilon rate = 0.7037213460300564, Episode = 69
Steps = 17, Explorations = 12, Exploitations = 4, Epsilon rate = 0.7025962359480679, Episode = 70
Steps = 20, Explorations = 13, Exploitations = 6, Epsilon rate = 0.7012625038587867, Episode = 71
Steps = 41, Explorations = 30, Exploitations = 10, Epsilon rate = 0.6984629167688126, Episode = 72
Steps = 34, Explorations = 21, Exploitations = 12, Epsilon rate = 0.6961616732197193, Episode = 73
Steps = 23, Explorations = 16, Exploitations = 6, Epsilon rate = 0.6946317246005211, Episode = 74
Steps = 34, Explorations = 26, Exploitations = 7, Epsilon rate = 0.6923431037777755, Episode = 75
Steps = 22, Explorations = 14, Exploitations = 7, Epsilon rate = 0.6908906362599582, Episode = 76
Steps = 15, Explorations = 10, Exploitations = 4, Epsilon rate = 0.6899240178282583, Episode = 77
Steps = 23, Explorations = 13, Exploitations = 9, Epsilon rate = 0.6884077776515392, Episode = 78
Steps = 27, Explorations = 15, Exploitations = 11, Epsilon rate = 0.6866201529660911, Episode = 79
Steps = 11, Explorations = 5, Exploitations = 5, Epsilon rate = 0.685933841709814, Episode = 80
Steps = 18, Explorations = 13, Exploitations = 4, Epsilon rate = 0.6847686865826603, Episode = 81
Steps = 14, Explorations = 6, Exploitations = 7, Epsilon rate = 0.6838790212138836, Episode = 82
Steps = 42, Explorations = 30, Exploitations = 11, Epsilon rate = 0.6810807177516507, Episode = 83
Steps = 29, Explorations = 20, Exploitations = 8, Epsilon rate = 0.6791762639972329, Episode = 84
Steps = 20, Explorations = 12, Exploitations = 7, Epsilon rate = 0.6778869898291912, Episode = 85
Steps = 31, Explorations = 18, Exploitations = 12, Epsilon rate = 0.6758562749177449, Episode = 86
Steps = 20, Explorations = 11, Exploitations = 8, Epsilon rate = 0.6745733030549885, Episode = 87
Steps = 27, Explorations = 17, Exploitations = 9, Epsilon rate = 0.6728216030773982, Episode = 88
Steps = 19, Explorations = 12, Exploitations = 6, Epsilon rate = 0.671611553060095, Episode = 89
Steps = 26, Explorations = 18, Exploitations = 7, Epsilon rate = 0.6699345374682468, Episode = 90
Steps = 16, Explorations = 10, Exploitations = 5, Epsilon rate = 0.6689303387885801, Episode = 91
Steps = 13, Explorations = 9, Exploitations = 3, Epsilon rate = 0.668128063728926, Episode = 92
Steps = 17, Explorations = 10, Exploitations = 6, Epsilon rate = 0.6670598602066063, Episode = 93
Steps = 22, Explorations = 15, Exploitations = 6, Epsilon rate = 0.6656604344390885, Episode = 94
Steps = 11, Explorations = 4, Exploitations = 6, Epsilon rate = 0.6649950734719797, Episode = 95
Steps = 13, Explorations = 5, Exploitations = 7, Epsilon rate = 0.664197518134296, Episode = 96
Steps = 26, Explorations = 15, Exploitations = 10, Epsilon rate = 0.6625390154047006, Episode = 97
Steps = 11, Explorations = 3, Exploitations = 7, Epsilon rate = 0.6618767744523621, Episode = 98
Steps = 20, Explorations = 11, Exploitations = 8, Epsilon rate = 0.6606203397490849, Episode = 99
Steps = 18, Explorations = 10, Exploitations = 7, Epsilon rate = 0.659498183166109, Episode = 100
Steps = 10, Explorations = 4, Exploitations = 5, Epsilon rate = 0.6589048721652159, Episode = 101
Steps = 29, Explorations = 19, Exploitations = 9, Epsilon rate = 0.6570624270263463, Episode = 102
Steps = 14, Explorations = 7, Exploitations = 6, Epsilon rate = 0.6562087581920324, Episode = 103
Steps = 35, Explorations = 21, Exploitations = 13, Epsilon rate = 0.6539813258216012, Episode = 104
Steps = 24, Explorations = 17, Exploitations = 6, Epsilon rate = 0.6524788221873439, Episode = 105
Steps = 16, Explorations = 10, Exploitations = 5, Epsilon rate = 0.6515007887600374, Episode = 106
Steps = 16, Explorations = 10, Exploitations = 5, Epsilon rate = 0.6505242213563819, Episode = 107
Steps = 13, Explorations = 7, Exploitations = 5, Epsilon rate = 0.6497440214936573, Episode = 108
Steps = 26, Explorations = 17, Exploitations = 8, Epsilon rate = 0.6481216091783981, Episode = 109
Steps = 14, Explorations = 7, Exploitations = 6, Epsilon rate = 0.6472795564360049, Episode = 110
Steps = 36, Explorations = 23, Exploitations = 12, Epsilon rate = 0.6450179250687824, Episode = 111
Steps = 25, Explorations = 14, Exploitations = 10, Epsilon rate = 0.6434716609932595, Episode = 112
Steps = 58, Explorations = 43, Exploitations = 14, Epsilon rate = 0.6398141235307175, Episode = 113
Steps = 39, Explorations = 25, Exploitations = 13, Epsilon rate = 0.6373873223618373, Episode = 114
Steps = 36, Explorations = 28, Exploitations = 7, Epsilon rate = 0.6351602550197742, Episode = 115
Steps = 20, Explorations = 12, Exploitations = 7, Epsilon rate = 0.6339545360440487, Episode = 116
Steps = 19, Explorations = 9, Exploitations = 9, Epsilon rate = 0.6328143873124971, Episode = 117
Steps = 32, Explorations = 25, Exploitations = 6, Epsilon rate = 0.630855602456219, Episode = 118
Steps = 9, Explorations = 3, Exploitations = 5, Epsilon rate = 0.6303510945784992, Episode = 119
Steps = 27, Explorations = 17, Exploitations = 9, Epsilon rate = 0.6287142287356817, Episode = 120
