State,,Actions,CellId,,,,,,,,,,,,,,
CellId,Dirty Cell Id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,-0.999985,0,0,-0.500409,0,0,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,-0.5,0,-0.5,0,0,-100,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,-0.999992,0,-0.9375,0,0,-99.999619,0,0,0,0,0,0,0,0,0,0
,3,100,0,23.497959,0,0,-99.951172,0,0,0,0,0,0,0,0,0,0
2,0,0,-1,0,-1,0,0,1,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,-0.96875,0,-0.999023,0,0,-0.525172,0,0,0,0,0,0,0,0,0
,3,0,49,0,10.178049,0,0,10.736807,0,0,0,0,0,0,0,0,0
3,0,0,0,-0.5,0,0,0,0,-100,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,0,-0.999023,0,0,0,0,-99.975586,0,0,0,0,0,0,0,0
,3,0,0,23.329947,0,0,0,0,-87.5,0,0,0,0,0,0,0,0
4,0,-0.5,0,0,0,0,-100,0,0,4,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,-0.999969,0,0,0,0,-99.996948,0,0,1,0,0,0,0,0,0,0
,3,100,0,0,0,0,-100,0,0,23.5,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,-0.500095,0,0,-99.999976,0,-99.999619,0,0,4,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,0,-0.96875,0,0,-75,0,-75,0,0,1,0,0,0,0,0
,3,0,0,23.5,0,0,-99.996948,0,-99.996948,0,0,4.374997,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,1,0,0,0,0,10,0,0,-100,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,-0.5,0,0,0,0,4,0,0,-100,0,0,0
,3,0,0,0,0,49,0,0,0,0,10.75,0,0,-100,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,-100,0,0,1,0,1,0,0,10,0,0
,3,0,0,0,0,0,-100,0,0,23.5,0,4.375,0,0,4.375,0,0
10,0,0,0,0,0,0,0,0.99998,0,0,10,0,0.999964,0,0,3.908661,0
,1,0,0,0,0,0,0,0,0,0,8.75,0,0,0,0,0,0
,2,0,0,0,0,0,0,-0.500002,0,0,4,0,-0.5,0,0,4,0
,3,0,0,0,0,0,0,10.75,0,0,10.75,0,1.1875,0,0,1.1875,0
11,0,0,0,0,0,0,0,0,-96.875,0,0,3.999998,0,0,0,0,-0.53881
,1,0,0,0,0,0,0,0,-75,0,0,-0.5,0,0,0,0,0
,2,0,0,0,0,0,0,0,-99.609375,0,0,1,0,0,0,0,0.849759
,3,0,0,0,0,0,0,0,-100,0,0,4.375,0,0,0,0,-0.406251
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,0,9.6875,0,0,-93.75,0,-0.78125,0
,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0,10.75,0,0,-100,0,1.1875,0
14,0,0,0,0,0,0,0,0,0,0,0,3.18689,0,0,9.960938,0,-0.655369
,1,0,0,0,0,0,0,0,0,0,0,1.75,0,0,-0.75,0,-0.75
,2,0,0,0,0,0,0,0,0,0,0,0.927624,0,0,10,0,0.873866
,3,0,0,0,0,0,0,0,0,0,0,4.375,0,0,4.375,0,-0.40625
15,0,0,0,0,0,0,0,0,0,0,0,0,0.984252,0,0,-0.5,0
,1,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,-0.5,0
,2,0,0,0,0,0,0,0,0,0,0,0,-0.501889,0,0,3.976602,0
,3,0,0,0,0,0,0,0,0,0,0,0,1.187442,0,0,1.1875,0
