,,CellId,,,,,,,,,,,,,,,
CellId,Dirty Cell Id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,0,5.665561,0,0,7.811,0,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,-0.992188,0,0,6.183887,0,0,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,6.73289,0,6.732889,0,0,-100,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,-0.296572,0,0.890124,0,0,-93.75,0,0,0,0,0,0,0,0,0,0
,3,100,0,96.02,0,0,-100,0,0,0,0,0,0,0,0,0,0
2,0,0,5.665561,0,5.405804,0,0,7.811,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,-0.864775,0,-0.96875,0,0,6.016923,0,0,0,0,0,0,0,0,0
,3,0,98,0,94.0598,0,0,94.0598,0,0,0,0,0,0,0,0,0
3,0,0,0,6.692702,0,0,0,0,-99.993896,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,0,-0.96875,0,0,0,0,-98.4375,0,0,0,0,0,0,0,0
,3,0,0,96.02,0,0,0,0,-100,0,0,0,0,0,0,0,0
4,0,6.73289,0,0,0,0,-100,0,0,8.9,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,3.701898,0,0,0,0,-99.993896,0,0,7.810995,0,0,0,0,0,0,0
,3,100,0,0,0,0,-100,0,0,96.02,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,6.662169,0,0,-99.902344,0,-99.999237,0,0,8.9,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,0,2.905044,0,0,-99.609375,0,-96.875,0,0,7.811,0,0,0,0,0
,3,0,0,96.02,0,0,-100,0,-100,0,0,92.119202,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,7.811,0,0,0,0,10,0,0,-100,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,6.732793,0,0,0,0,8.9,0,0,-100,0,0,0
,3,0,0,0,0,98,0,0,0,0,94.0598,0,0,-100,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,-100,0,0,7.811,0,7.811,0,0,10,0,0
,3,0,0,0,0,0,-100,0,0,96.02,0,92.119202,0,0,92.119202,0,0
10,0,0,0,0,0,0,0,7.522895,0,0,10,0,5.08868,0,0,5.86875,0
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,6.732888,0,0,8.9,0,6.73289,0,0,8.9,0
,3,0,0,0,0,0,0,94.0598,0,0,94.0598,0,90.19801,0,0,90.19801,0
11,0,0,0,0,0,0,0,0,-96.875,0,0,8.62185,0,0,0,0,1.683491
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,-99.999952,0,0,7.796095,0,0,0,0,7.811
,3,0,0,0,0,0,0,0,-100,0,0,92.119202,0,0,0,0,88.295513
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1,0,0,0,0,0,0,0,0,0,7.5,0,0,-50,0,0,0
,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3,0,0,0,0,0,0,0,0,0,94.0598,0,0,-100,0,90.19801,0
14,0,0,0,0,0,0,0,0,0,0,0,5.746875,0,0,7.5,0,1.920668
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0,0,7.811,0,0,10,0,7.810997
,3,0,0,0,0,0,0,0,0,0,0,92.119202,0,0,92.119202,0,88.29603
15,0,0,0,0,0,0,0,0,0,0,0,0,6.327775,0,0,-0.75,0
,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2,0,0,0,0,0,0,0,0,0,0,0,6.730733,0,0,8.9,0
,3,0,0,0,0,0,0,0,0,0,0,0,90.197974,0,0,90.19801,0
